               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.026321,             0.11327,           0.0012198,             0.86664,              0.8724,             0.90176,             0.59703,            0.026616,             0.11131,           0.0010471,            0.005446,            0.005446,            0.005446
                  48,            0.028321,              0.1124,           0.0014244,             0.82916,             0.89397,             0.90161,             0.58292,            0.026649,             0.11072,          0.00091071,            0.005347,            0.005347,            0.005347
                  49,            0.028104,              0.1269,           0.0013124,             0.84668,              0.9063,             0.90394,             0.59722,            0.025266,             0.10712,          0.00092051,            0.005248,            0.005248,            0.005248
                  50,            0.026336,             0.11321,           0.0011067,             0.86159,             0.86779,             0.88677,             0.59441,            0.027946,             0.12679,           0.0009368,            0.005149,            0.005149,            0.005149
                  51,            0.028039,             0.11496,           0.0012887,             0.86724,             0.87381,             0.90663,             0.59154,             0.02815,             0.12315,          0.00089311,             0.00505,             0.00505,             0.00505
                  52,             0.02786,             0.12017,           0.0011554,             0.87309,             0.87039,             0.89442,             0.58461,             0.02741,             0.11338,          0.00091929,            0.004951,            0.004951,            0.004951
                  53,            0.027121,             0.11486,           0.0012423,             0.86773,             0.84782,             0.88242,             0.57886,            0.027379,             0.12089,          0.00092188,            0.004852,            0.004852,            0.004852
                  54,            0.026422,             0.10851,           0.0012452,             0.86125,             0.88527,             0.89517,             0.58913,            0.026516,             0.12113,          0.00092875,            0.004753,            0.004753,            0.004753
                  55,            0.025533,             0.10928,           0.0011958,             0.86027,             0.88745,             0.90218,             0.61448,            0.026384,             0.12218,          0.00087828,            0.004654,            0.004654,            0.004654
                  56,            0.025899,             0.11633,           0.0010127,              0.8524,             0.87751,             0.88914,             0.59187,            0.026383,             0.12193,          0.00092185,            0.004555,            0.004555,            0.004555
                  57,             0.02657,             0.11613,           0.0011933,             0.85564,             0.85727,             0.86846,             0.58244,            0.026324,             0.11679,          0.00087175,            0.004456,            0.004456,            0.004456
                  58,            0.026076,             0.11422,           0.0010345,             0.88061,             0.85984,             0.89766,             0.58743,            0.025942,             0.11929,          0.00088879,            0.004357,            0.004357,            0.004357
                  59,            0.026013,             0.11366,           0.0011312,             0.87418,             0.87731,             0.90543,             0.60093,             0.02636,             0.11612,          0.00080057,            0.004258,            0.004258,            0.004258
                  60,            0.025972,             0.11271,           0.0011335,             0.87446,             0.87772,             0.90204,              0.6098,            0.025968,             0.11776,          0.00085567,            0.004159,            0.004159,            0.004159
                  61,            0.025185,             0.11089,           0.0011039,             0.86713,             0.88867,               0.905,             0.61475,            0.025584,             0.11878,          0.00079136,             0.00406,             0.00406,             0.00406
                  62,             0.02536,             0.11274,          0.00099432,              0.8505,             0.89564,             0.89549,             0.59801,            0.025841,             0.12075,          0.00083111,            0.003961,            0.003961,            0.003961
                  63,            0.024622,             0.11946,          0.00097558,             0.86022,             0.88226,             0.89019,             0.59388,            0.025404,             0.12037,          0.00084384,            0.003862,            0.003862,            0.003862
                  64,            0.025699,             0.11164,           0.0010082,             0.86163,             0.90209,             0.89358,             0.59439,            0.025985,             0.11676,           0.0008181,            0.003763,            0.003763,            0.003763
                  65,            0.025394,             0.11107,           0.0010215,             0.86795,              0.8874,             0.90109,             0.60074,            0.025887,             0.12104,           0.0008008,            0.003664,            0.003664,            0.003664
                  66,            0.025532,             0.11378,          0.00095859,             0.88881,             0.85179,              0.8998,              0.6045,            0.026129,             0.12262,          0.00079282,            0.003565,            0.003565,            0.003565
                  67,            0.024615,             0.10791,           0.0010069,             0.87171,             0.88968,             0.90118,             0.60073,            0.025303,             0.11716,          0.00073601,            0.003466,            0.003466,            0.003466
                  68,             0.02521,             0.10542,           0.0011384,             0.87936,             0.87705,             0.89967,              0.5961,             0.02618,             0.12486,          0.00081983,            0.003367,            0.003367,            0.003367
                  69,            0.025169,             0.11326,           0.0011319,             0.87895,             0.88167,              0.9094,             0.60585,            0.026053,             0.11846,          0.00074149,            0.003268,            0.003268,            0.003268
